Code,Description
"AA","AMERICAN-AIRLINES OPERATED"
"AA_CODESHARE","AMERICAN BRANDED-CODE-SHARE-PARTNERS"
"AS","ALASKA-AIRLINES OPERATED"
"AS_CODESHARE","ALASKA BRANDED-CODE-SHARE-PARTNERS"
"B6","JETBLUE-AIRLINES OPERATED"
"B6_CODESHARE","JETBLUE BRANDED-CODE-SHARE-PARTNERS"
"DL","DELTA-AIRLINES OPERATED"
"DL_CODESHARE","DELTA AIR BRANDED-CODE-SHARE-PARTNERS"
"F9","FRONTIER-AIRLINES OPERATED"
"F9_CODESHARE","FRONTIER BRANDED-CODE-SHARE-PARTNERS"
"G4","ALLEGIANT-AIR OPERATED"
"G4_CODESHARE","ALLEGIANT BRANDED-CODE-SHARE-PARTNERS"
"HA","HAWAIIAN-AIRLINES OPERATED"
"HA_CODESHARE","HAWAIIN BRANDED-CODE-SHARE-PARTNERS"
"NK","SPIRIT-AIRLINES OPERATED"
"NK_CODESHARE","SPIRIT BRANDED-CODE-SHARE-PARTNERS"
"UA","UNITED-AIRLINES OPERATED"
"UA_CODESHARE","UNITED BRANDED-CODE-SHARE-PARTNERS"
"VX","HAWAIIAN-AIRLINES OPERATED"
"WN","SOUTHWEST-AIRLINES OPERATED"
"WN_CODESHARE","SOUTHWEST BRANDED-CODE-SHARE-PARTNERS"
